id,title,topics,practice_url
1,Problems on Ratio and Proportion,Quantitative Aptitude,https://www.indiabix.com/quantitative-aptitude/ratio-and-proportion/
2,Time and Work calculations,Quantitative Aptitude,https://www.indiabix.com/quantitative-aptitude/time-and-work/
3,Permutations and Combinations rules,Probability & Combinatorics,https://www.indiabix.com/quantitative-aptitude/permutation-and-combination/
4,Syllogisms and Logical Deductions,Logical Reasoning,https://www.indiabix.com/logical-reasoning/logical-deduction/
5,Data Interpretation using Bar Charts,Data Interpretation,https://www.indiabix.com/data-interpretation/bar-charts/
6,Data Interpretation using Pie Charts,Data Interpretation,https://www.indiabix.com/data-interpretation/pie-charts/
7,Average and Percentages computation,Quantitative Aptitude,https://www.indiabix.com/quantitative-aptitude/problems-on-numbers/
8,Direction Sense Test problems,Logical Reasoning,https://www.indiabix.com/logical-reasoning/direction-sense-test/
9,Blood Relation reasoning puzzles,Logical Reasoning,https://www.indiabix.com/logical-reasoning/blood-relation-test/
